transliteration,arabic_script,arabic_alternates,english_meanings,part_of_speech,dialect,gender,plural,plural_arabic,category,notes,verb_forms
adapt,‫ﻛﹷﻴﻴﹻﻒ‬,‫ﻳﹻﻜﹷﻴﻴﹻﻒ‬ | ‫ﻣﹹﺘﹷﻜﹷﻴﻴﹻﻒ‬,adapt,v inf | v p,EG,,,,change: change,,p: adapted | pass: adapted
adapter,‫ﻣﹹﺤﹷﻮﹼﹺﻝ‬,‫ﻣﹹﺤﹷﻮﹼﹺﻻﹶﺕ‬,adapter,n s | n m,MS,m,adapter,,technical: electrical,,
add,‫ﺿﺎﹶﻑ‬,‫ﻳﹻﻀﻴﻒ‬ | ‫ﺿﺎﹶﻳﹻﻒ‬ | ‫ﺯﹶﻭﹼﹺﺩ‬ | ‫ﻳﹻﺰﹶﻭﹼﹺﺩ‬ | ‫ﻣﹹﺰﹶﻭﹼﹺﺩ‬ | ‫ﺯﺍﹶﺩ‬ | ‫ﻳﹻﺰﻳﺪ‬ | ‫ﺯﺍﹶﻳﹻﺪ‬ | ‫ﻣﹻﺘﺰﺍﹶﺩ‬ | ‫ﺣﹷﻂﹼ‬ | ‫ﻳﹻﺤﹹﻂﹼ‬ | ‫ﺣﺎﹶﻃﹻﻂ‬ | ‫ﻣﹷﺤﻄﻮﻁ‬ | ‫ﺟﹷﻤﹷﻊ‬ | ‫ﻳﹻﺠﻤﹷﻊ‬ | ‫ﺟﺎﹶﻣﹻﻊ‬ | ‫ﻣﹷﺠﻤﻮﻉ‬,add,v inf | v p,EG | MS,,,,movement: move | quantity: calculation,1) put in | 2) numbers,p: added | pass: added
addict,,,addict,n s,,,addicts,,people: vices,,
MS n m: mudmin,‫ﻣﹹﺪﻣﹻﻦ‬,,,,,,,,,,
addiction,‫ﺇﺩﻣﺎﹶﻥ‬,,addiction,n s | n m,MS,m,addictions,,people: vices,,
addition,‫ﺇﺿﺎﹶﻓﹷﺔ‬,‫ﺷﻲءﻣﹹﻀﺎﹶﻑ‬ | ‫ﺃﺷﻴﺎﹶءﻣﹹﻀﺎﹶﻓﹷﺔ‬,addition,n | n s | n f | n m,EG,f | m,additions,,quantity: calculation,1) process | 2) thing,
additional,‫ﻛﹷﻤﺎﹶﻥ‬,‫ﻣﹹﻀﺎﹶﻑ‬ | ‫ﻣﹹﻀﺎﹶﻓﹷﺔ‬ | ‫ﻣﹹﻀﺎﹶﻓﻴﻦ‬,additional,adj invar | adj | adj m,EG,m,,,quantity: quantity,,
additionally,,,additionally,adv,,,,,quantity: quantity,,
address,‫ﺑﹻﺎﹺﻹﺿﺎﹶﻓﹷﺔ‬,‫ﻋﹻﻨﻮﺍﹶﻥ‬ | ‫ﻋﹻﻨﺎﹶﻭﻳﻦ‬ | ‫ﺣﺎﹶﺿﹻﺮ‬ | ‫ﻳﹻﺤﺎﹶﺿﹻﺮ‬ | ‫ﻣﹹﺤﺎﹶﺿﹻﺮ‬,address,adv | n s | v inf | n m | v p,MS,m,addresses,,communication: transmission | communication: spoken,1) postal | 2) lecture,p: addressed | pass: addressed
adequate,‫ﻛﹻﻔﺎﹶﻳﹷﺔ‬,‫ﻛﹻﻔﺎﹶﻳﺎﹶﺕ‬ | ‫ﻣﹹﻨﺎﹶﺳﹻﺐ‬ | ‫ﻣﹹﻨﺎﹶﺳﺒﹷﺔ‬ | ‫ﻣﹹﻨﺎﹶﺳﺒﻴﻦ‬,adequate,adj | adj m,EG | MS,m,,,quantity: sufficiency | qualities: suitable,1) sufficient | 2) suitable,
adhesive,‫ﻣﹻﻠﹷﺰﹼﹶﻕ‬,‫ﻣﹻﻠﹷﺰﹼﹶﻗﹷﺔ‬ | ‫ﻣﹻﻠﹷﺰﹼﹶﻗﻴﻦ‬ | ‫ﻻﹶﺻﹻﻖ‬,adhesive,n s | adj m | n m,EG,m,adhesives,,materials: adhesives,1) EN adj: adhesive | 2) glue,
adjective,‫ﺻﹻﻔﹷﺔ‬,‫ﺻﹻﻔﺎﹶﺕ‬,adjective,n s | n f,MS,f,adjectives,,communication: language,,
adjourn,‫ﺃﺧﹽﹷﺮ‬,‫ﻳﹻﺄﺧﹽﹷﺮ‬ | ‫ﻣﹹﺄﺧﹽﹷﺮ‬,adjourn,v | v p,MS,,,,activity: delay,,
adjournment,‫ﺗﺄﺧﻴﺮ‬,‫ﺗﺄﺧﻴﺮﺍﹶﺕ‬,adjournment,n | n m,EG,m,,,activity: delay,,
adjust,‫ﻇﹷﺒﹷﻂ‬,‫ﺿﹷﺒﹷﻂ‬ | ‫ﻳﹹﻈﺒﹹﻂ‬ | ‫ﻣﹷﻈﺒﻮﻁ‬,adjust,v inf | v p,EG,,,,change: adjust,,p: adjusted | pass: adjusted
adjusted,‫ﻣﹷﻈﺒﻮﻁ‬,‫ﻣﹷﻈﺒﻮﻃﹷﺔ‬ | ‫ﻣﹷﻈﺒﻮﻃﻴﻦ‬,adjusted,adj | adj m,EG,m,,,change: adjust,,
adjustment,‫ﻇﹷﺒﻂ‬,,adjustment,n | n m,EG,m,,,change: adjust,,
administer,‫ﺣﹷﻜﹷﻢ‬,‫ﻳﹹﺤﻜﹹﻢ‬ | ‫ﺣﺎﹶﻛﹻﻢ‬ | ‫ﻣﹷﺤﻜﻮﻡ‬,administer,v inf | v p,EG,,,,society: government,,p: administered | pass: administered
administration,‫ﺇﺩﺍﹶﺭﹶﺓ‬,‫ﺇﺩﺍﹶﺭﺍﹶﺕ‬,administration,n s | n f,EG,f,administrations,,society: government,,
administrative,‫ﺇﺩﺍﹶﺭﻱ‬,‫ﺇﺩﺍﹶﺭﹺﻳﻴﹷﺔ‬ | ‫ﺇﺩﺍﹶﺭﹺﻳﻴﻦ‬ | ‫ﺗﹷﻨﻔﻴﺬﻱ‬ | ‫ﺗﹷﻨﻔﻴﺬﹺﻳﻴﹷﺔ‬ | ‫ﺗﹷﻨﻔﻴﺬﹺﻳﻴﻦ‬,administrative,adj | adj m,MS,m,,,society: government,,
administrator,‫ﺇﺩﺍﹶﺭﻱ‬,‫ﺇﺩﺍﹶﺭﹺﻳﻴﹷﺔ‬ | ‫ﺇﺩﺍﹶﺭﹺﻳﻴﻦ‬,administrator,n s | n m,MS,m,administrators,,work: profession,,
admire,‫ﺃﻋﺠﹷﺐ‬,‫ﻳﹻﻌﺠﹻﺐ‬ | ‫ﻣﹹﻌﺠﹷﺐ‬,admire,v inf | v p,MS,,,,character: respect,,p: admired | pass: admired
admirer,‫ﻣﹹﻌﺠﹷﺐ‬,‫ﻣﹹﻌﺠﹷﺒﻴﻦ‬,admirer,n s | n m,MS,m,admirers,,emotion: attraction,,
admit,‫ﺳﹷﻤﹷﺢﺑﹻﺎﹺﻟﺪﹸﺧﻮﻝ‬,‫ﻳﹻﺴﻤﹷﺢﺑﹻﺎﹺﻟﺪﹸﺧﻮﻝ‬ | ‫ﻣﹷﺴﻤﻮﺡ‬ | ‫ﻗﹻﺒﹻﻞ‬ | ‫ﻳﹻﻘﺒﹷﻞ‬ | ‫ﻗﺎﹶﺑﹻﻞ‬ | ‫ﻣﹷﻘﺒﻮﻝ‬ | ‫ﺇﻋﺘﹷﺮﹶﻑ‬ | ‫ﻳﹻﻌﺘﹻﺮﹺﻑ‬ | ‫ﻣﹹﻌﺘﹷﺮﹺﻑ‬,admit,v inf | v p,MS,,,,influence: control | influence: agree | spirit: guilt,1) allow entry | 2) accept | 3) own up,p: admitted | pass: admitted
adolescent,‫ﻗﺎﹶﺻﹻﺮ‬,‫ﻗﺎﹶﺻﹻﺮﹶﺓ‬ | ‫ﻗﺎﹶﺻﹻﺮﻳﻦ‬,adolescent,n s | n m,EG,m,adolescents,,people: people,,
adopt,‫ﺇﺗﺒﹷﻨﹽﻰ‬,‫ﻳﹻﺘﺒﹷﻨﹽﻰ‬ | ‫ﺗﹷﺒﹷﻨﹽﻰ‬ | ‫ﻳﹻﺘﹷﺒﹷﻨﹽﻰ‬ | ‫ﻣﹻﺘﺒﹷﻨﹽﻲ‬,adopt,v inf | v p,EG | MS,,,,society: family,,p: adopted | pass: adopted
adoption,‫ﺗﹷﺒﹷﻨﹽﻲ‬,,adoption,n s | n m,MS,m,adoptions,,society: family,,
adoration,,,adoration,n,,,,,emotion: attraction,,
adore,‫ﻏﹷﺮﺍﹶﻡ‬,,,n m,EG,m,,,,,
EN v inf: adore,‫ﺇﺗﻬﹷﻮﹶﺱ‬,‫ﻳﹻﺘﻬﹻﻮﹺﺱ‬ | ‫ﻣﹷﻬﻮﹼﺱ‬,,v p,EG,,,,emotion: attraction,,p: adored | pass: adored
adorn,‫ﺯﹶﻳﻴﹻﻦ‬,‫ﻳﹻﺰﹶﻳﻴﹻﻦ‬ | ‫ﻣﹹﺰﹶﻳﻴﹻﻦ‬,adorn,v inf | v p,MS,,,,qualities: decorate,,p: adorned | pass: adorned
adult,‫ﺑﺎﹶﻟﹻﻎ‬,‫ﺑﺎﹶﻟﹻﻐﻴﻦ‬ | ‫ﻛﹻﺒﻴﺮ‬ | ‫ﻛﹻﺒﻴﺮﹶﺓ‬ | ‫ﻛﹹﺒﺎﹶﺭ‬,adult,n s | n m,MS,m,adults,,people: people,,
adulterer,‫ﺯﺍﹶﻧﻲ‬,‫ﺯﺍﹶﻧﻴﹷﺔ‬,adulterer,n m,MS,m,,,spirit: moral,f: adulteress,
adultery,‫ﺯﹺﻧﺎﹶ‬,,adultery,n s | n m,MS,m,,,spirit: moral,,
advance,‫ﺇﺗﻘﹷﺪﹼﹺﻡ‬,‫ﻳﹻﺘﻘﹷﺪﹼﹺﻡ‬ | ‫ﻣﹹﺘﹷﻘﹷﺪﹼﹺﻡ‬ | ‫ﻗﹷﺪﹼﹺﻡ‬ | ‫ﻳﹻﻘﹷﺪﹼﹺﻡ‬ | ‫ﻣﹹﻘﹷﺪﹼﹺﻡ‬ | ‫ﻗﹷﺮﺽ‬ | ‫ﻗﹹﺮﻭﺽ‬ | ‫ﺗﹷﺤﺴﻴﻦ‬ | ‫ﺗﹷﺤﺴﻴﻨﺎﹶﺕ‬,advance,vi p | v p | n | n m | n s,EG | MS,m,advances,,activity: progress | possessions: money | change: improve,1) EN vi inf: advance | 2) loan | 3) improvement,p: advanced | pass: advanced
advanced,‫ﻣﹹﺘﹷﻘﹷﺪﹼﹺﻡ‬,‫ﻣﹹﺘﹷﻘﹷﺪﹼﹺﻣﻴﻦ‬ | ‫ﻣﹹﺘﹷﻄﹷﻮﹺﺭ‬ | ‫ﻣﹹﺘﹷﻄﹷﻮﹺﺭﹶﺓ‬ | ‫ﻣﹹﺘﹷﻄﹷﻮﹺﺭﻳﻦ‬,,adv m | adj m,MS,m,,,qualities: good,1) EN adv: advanced | 2) EN adj: advanced,
advantage,‫ﻓﺎﹶﻳﺪﹶﺓ‬,‫ﻓﹷﻮﺍﹶﻳﹻﺪ‬ | ‫ﻣﻴﺰﹶﺓ‬ | ‫ﻣﹻﻴﺎﹶﺯ‬ | ‫ﻣﻴﺰﺍﹶﺕ‬,advantage,n s | n f,MS,f,advantages,,qualities: good,,
adventure,‫ﻣﹹﻐﺎﹶﻣﺮﹶﺓ‬,‫ﻣﹹﻐﺎﹶﻣﹷﺮﺍﹶﺕ‬,adventure,n s | n f,MS,f,adventures,,society: leisure,,
adverb,‫ﻇﹷﺮﻑ‬,‫ﻇﹹﺮﻭﻑ‬,adverb,n s | n m,MS,m,adverbs,,communication: language,,
adverse,‫ﻣﹹﻀﹻﺮﹼ‬,‫ﻣﹹﻀﹻﺮﹼﹶﺓ‬ | ‫ﻏﻴﺮﻣﹷﺤﺒﻮﺏ‬ | ‫ﻏﻴﺮﻣﹷﺤﺒﻮﺑﹷﺔ‬ | ‫ﻏﻴﺮﻣﹷﺤﺒﻮﺑﻴﻦ‬,adverse,adj | adj m,MS | EG,m,,,qualities: good,,
advertise,‫ﺳﹷﻮﹼﹶﻕ‬,‫ﻳﹻﺴﹷﻮﹼﹶﻕ‬ | ‫ﻣﹹﺴﹷﻮﹼﹶﻕ‬,advertise,v inf | v p,MS,,,,influence: persuasion,,p: advertised | pass: advertised
advertisement,,,advertisement,n s,,,advertisements,,communication: publication,,
advertising,‫ﺇﻋﻼﹶﻧﺎﹶﺕ‬,‫ﺇﻋﻼﹶﻥ‬,,n pl,MS,,,,,,
EN n: advertising,‫ﺩﹶﻋﺎﹶﻳﹷﺔ‬,,,n f,MS,f,,,influence: persuasion,,
advice,‫ﻧﹷﺼﻴﺤﹷﺔ‬,‫ﻧﹷﺼﺎﹶﻳﹻﺢ‬ | ‫ﺷﺎﹶﻭﹺﺭ‬ | ‫ﻳﹻﺸﺎﹶﻭﹺﺭ‬ | ‫ﻣﹹﺸﺎﹶﻭﹺﺭ‬,,n f | v p,MS | EG,f,,,influence: advise,1) EN n coll: advice | 2) EN v inf: (ask so. for) advice,p: (asked so. for) advice
advise,‫ﻧﹷﺼﹷﺢ‬,‫ﻳﹻﻨﺼﹷﺢ‬ | ‫ﻧﺎﹶﺻﹷﺢ‬ | ‫ﻭﹶﻋﹷﻆ‬ | ‫ﻳﹻﻮﻋﹷﻆ‬,advise,v inf | v p,MS | EG,,,,influence: advise,,p: advised | pass: advised
adviser,‫ﻧﺎﹶﺻﹻﺢ‬,,adviser,n s | n m,MS,m,advisers,,work: profession,,
advisory,‫ﺇﺳﺘﹻﺸﺎﹶﺭﻱ‬,‫ﺇﺳﺘﹻﺸﺎﹶﺭﻳﹷﺔ‬ | ‫ﺇﺳﺘﹻﺸﺎﹶﺭﹺﻳﻴﹻﻦ‬,advisory,adj | adj m,MS,m,,,influence: advise,,
advocate,‫ﻣﹹﺤﺎﹶﻣﻲ‬,‫ﻣﹹﺤﺎﹶﻣﹻﻴﻴﹷﺔ‬ | ‫ﻣﹹﺤﺎﹶﻣﻴﻦ‬ | ‫ﺳﹷﻮﹼﹶﻕ‬ | ‫ﻳﹻﺴﹷﻮﹼﹶﻕ‬ | ‫ﻣﹹﺴﹷﻮﹼﹶﻕ‬,,n m | v p,EG | MS,m,advocates,,society: law | influence: persuasion,1) EN n s: advocate | 2) EN v inf: advocate,p: advocated | pass: advocated
aerial,,,aerial,n s,,,aerials,,technical: electrical,,
aeroplane,‫ﺇﺭﻳﹷﻞ‬,‫ﺃﺭﺍﹶﻳﹻﻞ‬,,n m,MS,m,,,,,
EN n s: aeroplane,‫ﻃﹷﻴﺎﹶﺭﹶﺓ‬,‫ﻃﹷﻴﺎﹶﺭﺍﹶﺕ‬ | ‫ﻃﺎﹶﺋﹻﺮﹶﺓ‬ | ‫ﻃﺎﹶﺋﹻﺮﺍﹶﺕ‬,,n f | n m,EG | MS,f | m,aeroplanes,,transport: air,,
affair,‫ﻋﹻﻼﹶﻗﹷﺔ‬,‫ﻋﹻﻼﹶﻗﺎﹶﺕ‬ | ‫ﻧﻴﻜﹷﺔ‬,affair,adj s | n f | adj f,MS | EG,f,affairs,,people: vices | intellect: issue,1) secret relationship | 2) matter,
Impolite,‫ﻣﹷﻮﺿﻮﹶﻉ‬,‫ﻣﹷﻮﺍﹶﺿﻴﻊ‬,,n m,EG,m,,,,,
affect,‫ﺃﺛﹽﹷﺮﻓﻲ‬,‫ﻳﹹﺄﺛﹽﹷﺮﻓﻲ‬,affect,v inf,,,,,change: change,,p: affected | pass: affected
affected,‫ﻣﺎﹶﻳﹻﺲ‬,‫ﻣﺎﹶﻳﺴﹷﺔ‬ | ‫ﻣﺎﹶﻳﺴﻴﻦ‬,affected,adj | adj m,EG,m,,,character: sensible,,
affection,‫ﺗﺄﺛﻴﺮ‬,‫ﻣٶﹶﺛﹽﹻﺮﺍﹶﺕ‬,affection,n s | n m,MS,m,affections,,emotion: attraction,,
afflict,‫ﺇﺑﺘﹷﻠﻰ‬,‫ﻳﹻﺒﺘﹻﻠﻲ‬,afflict,v inf | v p,EG,,,,society: violence,,p: afflicted | pass: afflicted
affliction,‫ﺑﺎﹶﻻﹶء‬,,affliction,n s | n m,EG,m,afflictions,,society: violence,,
afford,‫ﺗﹷﺤﹷﻤﹽﹷﻞ‬,‫ﻳﹻﺘﹷﺤﹷﻤﹽﹻﻞ‬,afford,v inf | v p,MS,,,,possessions: money,,p: afforded | pass: afforded
aforesaid,‫ﺁﻧﹻﻒ‬,,aforesaid,adj | adj invar,EG,,,,time: relative time,,
afraid,‫ﺧﺎﹶﻑ‬,‫ﻳﹻﺨﺎﹶﻑ‬ | ‫ﺧﺎﹶﻳﹻﻒ‬ | ‫ﺧﺎﹶﻳﹻﻒﻣﹻﻦ‬ | ‫ﺧﺎﹶﻳﻔﹷﺔﻣﹻﻦ‬ | ‫ﺧﺎﹶﻳﻔﻴﻦﻣﹻﻦ‬ | ‫ﺧﻮﻑ‬ | ‫ﺧﺎﹶﻳﹻﻒﻋﹷﻠﻰ‬ | ‫ﺧﺎﹶﻳﻔﹷﺔﻋﹷﻠﻰ‬ | ‫ﺧﺎﹶﻳﹻﻔﻴﻦﻋﹷﻠﻰ‬,,vi p | adj m | n m | part m,MS | EG,m,,,emotion: fear,1) EN vi inf: (be) afraid (of) | 2) EN adj: afraid (of) | 3) EN part: being afraid | 4) EN adj: afraid,p: (was) afraid (of)
afraid so,‫ﻟﹻﻸﺳﹷﻒ‬,,(I'm) afraid so,adv | expr,MS,,,,spirit: luck,,
afraid that,,,(I'm) afraid that,expr,,,,,communication: courtesy,,
MS expr: aacnaa Kaeyif min,‫ﺃﻧﺎﹶﺧﺎﹶﻳﹻﻒﻣﹻﻦ‬,,,,,,,,,,
Africa,‫ﺃﻓﺮﻳﻘﻴﺎﹶ‬,,Africa,n s | n f,MS,f,,,society: places,,
African,‫ﺃﻓﺮﻳﻘﻲ‬,‫ﺃﻓﺮﻳﻘﹻﻴﻴﹷﺔ‬,African,adj | adj m,MS,m,,,society: places,,
after,‫ﺑﹷﻌﺪﻣﺎﹶ‬,‫ﺑﹷﻌﺪ‬ | ‫ﻛﹷﻤﺎﹶﻥ‬,after,conj | prep | prep invar,MS | EG,,,,time: relative time,1) EN conj: after | 2) time,
after that,‫ﺑﹷﻌﺪﻛﹻﺪﺍﹶ‬,‫ﺑﹷﻌﺪﻳﻦ‬,,conj,EG,,,,time: relative time,1) EN adv: after that | 2) EN conj: after that,
afterlife,‫ﺍﹺﻵﺧﹻﺮﹶﺓ‬,,(the) afterlife,n | n f,MS,f,,,spirit: religion,,
afternoon,‫ﺑﹷﻌﺪﺍﹺﻟﻀﹹﻬﺮ‬,,afternoon,n s | n m,MS,m,afternoons,,time: time,,
afterwards,‫ﺑﹷﻌﺪﻳﻦ‬,‫ﺑﹷﻌﺪﻛﹻﺪﺍﹶ‬,,conj | adv,EG,,,,time: relative time,1) EN conj: afterwards | 2) EN adv: afterwards,
again,‫ﺛﺎﹶﻧﻲ‬,‫ﺗﺎﹶﻧﻲ‬ | ‫ﻛﹷﻤﺎﹶﻥﻣﹷﺮﹼﹶﺓ‬ | ‫ﺛﺎﹶﻧﻴﹷﺔ‬ | ‫ﺑﹷﺮﺿﻮ‬,again,adv,EG | MS,,,,time: relative time,,
against,‫ﻋﹷﻠﻰ‬,‫ﺿﹻﺪﹼ‬ | ‫ﻏﹷﺼﺒﹻﻦﻋﹷﻦ‬ | ‫ﻋﹷﻜﺲ‬,against,prep | adv | n,MS | EG,,,,movement: position | influence: agree | qualities: safe | character: willing,1) leaning on | 2) opposing | 3) protection | 4) EN adv: against the wishes (of) | 5) opposite,
age,‫ﺳﹻﻦ‬,‫ﻋﹹﻤﺮ‬ | ‫ﺃﻋﻤﺎﹶﺭ‬,age,n s | n m,EG | MS,m,ages,,people: attributes,,
agency,‫ﻭﹸﻛﺎﹶﻟﹷﺔ‬,‫ﻭﹸﻛﺎﹶﻻﹶﺕ‬,agency,n s | n f,EG,f,agencies,,activity: indirection,,
agenda,‫ﻣﹹﻔﹷﻜﹽﹻﺮﹶﺓ‬,‫ﻣﹹﻔﹷﻜﹽﹻﺮﺍﹶﺕ‬ | ‫ﺃچﹻﻨﺪﹶﺓ‬ | ‫ﺃچﹻﻨﺪﺍﹶﺕ‬,agenda,n s | n f,MS,f,agendas,,communication: arranging,,
agent,‫ﻋﺎﹶﻣﻴﻞ‬,‫ﻋﹷﻤﹷﻼﹶء‬,agent,n s | n m,EG,m,agents,,activity: indirection,,
aggression,‫ﻋﹹﺪﻭﺍﹶﻥ‬,,aggression,n invar | n m,MS,m,,,character: aggressive,,
aggressive,‫ﻋﹹﺪﻭﺍﹶﻧﻲ‬,‫ﻋﹹﺪﻭﺍﹶﻧﹻﻴﻴﹷﺔ‬ | ‫ﻋﹹﺪﻭﺍﹶﻧﻴﻴﻦ‬,aggressive,adj | adj m,MS,m,,,character: aggressive,,
aghast,‫ﺑﹷﻠﹽﹻﻢ‬,‫ﻳﹻﺒﹷﻠﹽﹻﻢ‬ | ‫ﻣﹹﺒﹷﻠﹽﹻﻢ‬,(be) aghast,vi inf | vi p,MS,,,,emotion: shock,,p: (was) aghast | pass: (been) aghast
agitate,‫ﺳﹷﺮﺑﹷﻊ‬,‫ﻳﹻﺴﹷﺮﺑﹷﻊ‬ | ‫ﻣﹻﺘﺴﹷﺮﺑﹷﻊ‬,agitate,v inf | v p,MS,,,,emotion: distress,,p: agitated | pass: agitated
EN adj: agitated,‫ﻣﹻﺘﻌﹷﺼﹷﺐ‬,‫ﻣﹻﺘﻌﹷﺼﹷﺒﹷﺔ‬ | ‫ﻣﹻﺘﻌﹷﺼﹷﺒﻴﻦ‬ | ‫ﻣﹷﺼﺪﻭﻡ‬ | ‫ﻣﹷﺼﺪﻭﻣﹷﺔ‬ | ‫ﻣﹷﺼﺪﻭﻣﻴﻦ‬,,adj m,EG | MS,m,,,emotion: distress,,
ago,‫ﻣﹻﻦ‬,,ago,prep,MS,,,,time: relative time,,
agree,‫ﻭﺍﹶﻓﹻﻖﻋﹷﻠﻰ‬,‫ﻳﹻﻮﺍﹶﻓﹻﻖﻋﹷﻠﻰ‬ | ‫ﻣﹹﻮﺍﹶﻓﹻﻖ‬ | ‫ﺇﺗﹽﹷﻔﹷﻖﻣﹷﻊﹶ‬ | ‫ﻳﹻﺘﹽﹻﻔﹻﻖﻣﹷﻊﹶ‬ | ‫ﻣﹻﺘﹽﹷﻔﹻﻖ‬ | ‫ﺇﺗﹽﹷﺤﹷﺪ‬ | ‫ﻳﹻﺘﹽﹻﺤﹻﺪ‬ | ‫ﻭﺍﹶﻓﹻﻖ‬ | ‫ﻳﹻﻮﺍﹶﻓﹻﻖ‬,,v p,MS | EG,,,,influence: agree,1) EN vi inf: agree (on) | 2) EN v inf: agree (with) | 3) EN v inf: agree,p: agreed (on) | pass: agreed (on) | p: agreed (with) | pass: agreed (with) | p: agreed | pass: agreed
agreeable,‫ﻟﹷﻄﻴﻒ‬,‫ﻟﹷﻄﻴﻔﹷﺔ‬ | ‫ﻟﹹﻄﺎﹶﻑ‬,agreeable,adj | adj m,MS,m,,,emotion: please,,
agreed,‫ﻣﺎﹶﺷﻲ‬,,agreed,expr,EG,,,,influence: agree,,
agreed?,‫ﺇﺗﹽﹷﻔﺎﹶﻗﻨﺎﹶ؟‬,,agreed?,q | q s,EG,,,,influence: agree,,
agreeing,‫ﻣﹹﻮﺍﹶﻓﹻﻖ‬,‫ﻣﹹﻮﺍﹶﻓﻘﹷﺔ‬ | ‫ﻣﹹﻮﺍﹶﻓﻘﻴﻦ‬,agreeing,adj | adj m,MS,m,,,influence: agree,,
agreement,‫ﺇﺗﹻﻔﺎﹶﻕ‬,‫ﺇﺗﹻﻔﺎﹶﻗﺎﹶﺕ‬ | ‫ﻣﻴﺜﺎﹶﻕ‬ | ‫ﻣﹷﻮﺍﹶﺛﻴﻖ‬ | ‫ﻛﹻﻤﺒﹻﻴﺎﹶﻟﹷﺔ‬ | ‫ﻛﹻﻤﺒﹻﻴﺎﹶﻻﹶﺕ‬ | ‫ﻭﹶﺻﻞﺃﻣﺎﹶﻧﹷﺔ‬ | ‫ﻭﹸﺻﻮﻻﹶﺕﺃﻣﺎﹶﻧﹷﺔ‬ | ‫ﺇﺗﹽﹷﻔﹷﻖ‬ | ‫ﻳﹻﺘﹽﹻﻔﹻﻖ‬ | ‫ﻣﹻﺘﹽﹷﻔﹻﻖ‬,,n m | n f | vi p,MS | EG,m | f,agreements,,society: law | possessions: money | possessions: transfer,1) EN n s: agreement | 2) EN n: loan | 3) EN vi inf: (make an) agreement,p: (made an) agreement | pass: (made an) agreement
agricultural,‫ﺯﹺﺭﺍﹶﻋﻲ‬,‫ﺯﹺﺭﺍﹶﻋﹻﻴﻴﹷﺔ‬ | ‫ﺯﹺﺭﺍﹶﻋﹻﻴﻴﻦ‬,agricultural,adj | adj m,MS,m,,,environment: farming,,
agriculture,‫ﺯﹺﺭﺍﹶﻋﹷﺔ‬,,agriculture,n invar | n f,MS,f,,,environment: farming,,
aid,‫ﺃﻋﺎﹶﻥ‬,‫ﻣﹹﺴﺘﹷﻌﹻﺪﹼﹶﺓ‬ | ‫ﻣﹹﺴﺘﹷﻌﹻﺪﹼﺍﹶﺕ‬ | ‫ﻣﹷﻌﻮﻧﹷﺔ‬ | ‫ﻣﹷﻌﻮﻧﺎﹶﺕ‬ | ‫ﺳﺎﹶﻋﹻﺪ‬ | ‫ﻳﹻﺴﺎﹶﻋﹻﺪ‬ | ‫ﻣﹹﺴﺎﹶﻋﹻﺪ‬,,n m | n f | v p,MS | EG,m | f,aids,,character: help,1) EN n s: aid | 2) EN v inf: aid,p: aided | pass: aided
aim,‫ﻫﹷﺪﹶﻑ‬,‫ﺃﻫﺪﺍﹶﻑ‬ | ‫ﻏﹷﺮﹶﺽ‬ | ‫ﺃﻏﺮﺍﹶﺽ‬ | ‫ﻗﹷﺼﺪ‬ | ‫ﺳﹷﻌﺎﹶ‬ | ‫ﻳﹻﺴﻌﺎﹶ‬,aim,n s | n m | v p,MS,m,aims,,intellect: purpose | inf: aimed,1) purpose | 2) EN v inf: aim,p: aimed
aimless,‫ﻣﹻﺘﺨﹷﺒﹽﹷﻂ‬,‫ﻣﹻﺘﺨﹷﺒﹽﹷﻄﹷﺔ‬ | ‫ﻣﹻﺘﺨﹷﺒﹽﹷﻄﻴﻦ‬,aimless,adj | adj m,MS,m,,,character: ability,,
air,‫ﻫﹷﻮﺍﹶء‬,‫ﻫﹷﻮﻯ‬,air,n invar | n m,MS,m,,,environment: weather,,
air conditioning,‫ﺗﹷﻜﻴﻴﻒ‬,,air conditioning,n invar | n m,MS,m,,,buildings: heating and ventilation,,
air mail,‫ﺑﹷﺮﻳﺪﺟﹷﻮﹼﻱ‬,,air mail,n invar | n m,MS,m,,,communication: transmission,,
air vent,‫ﻫﹷﻮﹼﺍﹶﻳﹷﺔ‬,‫ﻫﹷﻮﹼﺍﹶﻳﺎﹶﺕ‬,air vent,n s | n f,EG,f,air,,buildings: heating and ventilation,,
aircraft,,,aircraft,n,,,,,transport: air,,
airline,‫ﻃﹷﻴﺎﹶﺭﹶﺓ‬,‫ﻃﹷﻴﺎﹶﺭﺍﹶﺕ‬,,n f,EG,f,,,,,
EN n s: airline,‫ﺷﹷﺮﹺﻛﹻﺔﻃﹷﻴﹷﺮﺍﹶﻥ‬,‫ﺷﹷﺮﹺﻛﺎﹶﺕﻃﹷﻴﹷﺮﺍﹶﻥ‬,,n f,MS,f,airlines,,transport: air,,
airport,‫ﻣﹷﻄﺎﹶﺭ‬,‫ﻣﹷﻄﺎﹶﺭﺍﹶﺕ‬,airport,n s | n m,MS,m,airports,,transport: air,,
aisle,‫ﻣﹷﻤﹷﺮﹼ‬,‫ﻣﹷﻤﹷﺮﹼﺍﹶﺕ‬,aisle,n s | n m,MS,m,aisles,,buildings: parts,,
